symbol,entry_time,entry_price,direction,exit_time,exit_price,exit_reason,R_outcome
SUIUSDT,2025-12-25T10:00:00+00:00,1.4017,SHORT,2025-12-25T15:15:00+00:00,1.4116275084426342,SL,-1.0
ATOMUSDT,2025-12-25T11:15:00+00:00,1.992,LONG,2025-12-25T13:15:00+00:00,1.992,TP1,0.75
TIAUSDT,2025-12-25T11:30:00+00:00,0.4523,LONG,2025-12-25T14:00:00+00:00,0.4523,TP1,0.75
ADAUSDT,2025-12-25T13:00:00+00:00,0.3504,SHORT,2025-12-25T13:30:00+00:00,0.35179220367654523,SL,-1.0
DOGEUSDT,2025-12-25T13:45:00+00:00,0.12632,SHORT,2025-12-25T15:15:00+00:00,0.12674524847817628,SL,-1.0
AVAXUSDT,2025-12-25T14:30:00+00:00,12.167,LONG,2025-12-25T15:15:00+00:00,12.259812481436096,TP2,2.0
UNIUSDT,2025-12-25T15:30:00+00:00,5.869,LONG,2025-12-25T22:45:00+00:00,5.869,TP1,0.75
SOLUSDT,2025-12-25T21:00:00+00:00,123.42,LONG,2025-12-25T22:30:00+00:00,122.646225970189,SL,-1.0
ARBUSDT,2025-12-26T05:30:00+00:00,0.1923,LONG,2025-12-26T07:45:00+00:00,0.19054207261241785,SL,-1.0
INJUSDT,2025-12-26T05:30:00+00:00,4.661,LONG,2025-12-26T07:45:00+00:00,4.624003180377695,SL,-1.0
OPUSDT,2025-12-26T08:00:00+00:00,0.265,LONG,2025-12-26T13:00:00+00:00,0.27061171234219794,TP2,2.0
XRPUSDT,2025-12-26T08:00:00+00:00,1.8664,LONG,2025-12-26T14:30:00+00:00,1.8664,TP1,0.75
APTUSDT,2025-12-26T09:15:00+00:00,1.676,LONG,2025-12-26T12:30:00+00:00,1.707190980000227,TP2,2.0
ATOMUSDT,2025-12-26T11:30:00+00:00,2.024,LONG,2025-12-26T14:15:00+00:00,2.0362263266686194,TP2,2.0
DOTUSDT,2025-12-26T14:45:00+00:00,1.7013,SHORT,2025-12-26T20:45:00+00:00,1.7313386204791108,SL,-1.0
SUIUSDT,2025-12-26T16:45:00+00:00,1.3749,SHORT,2025-12-26T18:15:00+00:00,1.389346815171466,SL,-1.0
LINKUSDT,2025-12-26T21:45:00+00:00,12.182,SHORT,2025-12-27T03:30:00+00:00,12.245570418303398,SL,-1.0
